2400,35,2,0,0,1,3,0,0,520,0,1,0,0,1,0,74
1200,35,2,1,4,0,0,2,0,654,0,1,0,0,1,0,32
600,25,2,0,1,1,1,6,0,1242,0,0,0,0,0,0,22
2700,55,2,1,1,1,0,5,0,1143,1,2,0,1,2,0,74
1500,25,2,1,1,0,2,0,0,599,1,1,0,1,1,0,68
600,35,2,1,1,1,1,0,0,896,3,0,0,3,0,0,31
300,25,1,0,1,0,0,2,0,654,1,1,0,1,1,0,16
1500,45,1,1,1,0,1,6,0,830,0,2,0,0,3,0,42
2700,55,3,1,1,1,1,2,0,681,1,2,0,1,1,0,62
3000,35,4,1,1,4,0,5,0,508,2,3,0,2,3,0,203
3000,15,1,0,3,0,1,4,0,449,1,1,0,1,1,0,307
1200,35,1,0,0,2,0,3,0,1045,3,1,0,3,1,0,78
2100,55,2,1,1,1,0,2,0,538,0,2,0,0,1,0,40
2400,25,2,0,0,3,2,6,0,763,1,1,0,1,1,0,166
1500,15,1,0,2,1,0,4,0,361,0,0,0,0,0,0,99
600,15,1,1,0,0,0,2,0,496,0,2,0,0,2,0,43
1500,25,1,0,0,0,2,5,0,370,1,0,0,1,0,0,64
1800,25,2,0,0,1,0,5,0,1034,1,3,0,1,3,0,135
1800,25,4,1,0,3,2,0,0,874,1,1,0,1,2,0,115
2400,15,1,0,2,0,1,3,0,954,1,2,0,0,2,0,251
1500,35,2,0,1,1,2,1,0,580,1,2,0,1,2,0,74
2100,45,2,0,3,0,1,3,0,1025,0,4,0,0,4,0,85
2100,45,2,1,0,1,0,5,0,429,0,2,0,0,2,0,51
2700,15,2,1,0,1,0,3,0,1096,1,2,0,1,2,0,262
2700,55,2,0,1,1,1,5,0,373,0,0,0,0,0,0,46
3000,25,2,0,2,0,1,2,0,1065,1,2,0,1,2,0,191
3000,35,1,1,1,2,0,4,0,901,1,3,0,1,3,0,179
2700,45,1,0,1,1,0,4,0,374,0,0,0,0,0,0,54
300,25,3,0,1,0,0,4,0,457,0,3,0,0,4,0,16
3000,25,1,0,1,0,0,2,0,968,1,2,0,1,2,0,195
900,35,1,0,2,1,0,5,0,401,0,2,0,0,2,0,38
2100,25,2,0,1,3,0,0,0,926,0,1,0,0,1,0,117
3000,55,3,1,0,0,1,6,0,862,3,2,0,3,2,0,101
2700,15,2,0,0,1,0,1,0,528,0,3,0,0,3,0,275
300,45,2,1,0,0,1,2,0,666,2,2,0,2,2,0,9
1200,25,1,0,4,0,1,3,0,755,0,0,0,0,0,0,46
2700,45,2,1,1,1,1,5,0,374,1,0,0,1,0,0,76
1500,55,1,1,5,0,3,4,0,1124,1,2,0,1,2,0,49
3000,15,2,1,2,1,0,5,0,620,0,2,0,0,2,0,251
1200,55,4,0,2,0,3,5,0,1175,1,3,0,1,2,0,31
3000,25,2,1,0,0,3,5,0,1382,0,0,0,0,1,0,93
1800,25,1,0,1,2,1,2,1,1067,1,3,0,1,3,0,164
2700,35,3,0,1,0,7,2,0,669,1,1,0,1,1,0,101
1200,55,2,1,0,3,1,6,0,600,0,2,0,0,2,0,30
300,35,3,0,0,1,1,6,0,695,2,1,0,2,1,0,11
2400,35,3,0,0,1,1,1,0,1038,1,4,0,1,4,0,138
1800,25,1,1,1,1,1,3,0,1147,1,1,0,1,1,0,102
1200,25,1,0,1,0,2,2,0,374,0,0,0,0,0,0,38
1800,55,3,1,2,0,1,4,0,466,0,3,0,0,3,0,40
300,25,1,0,1,0,1,6,0,371,0,0,0,0,0,0,9
1800,25,2,1,3,1,1,2,0,648,1,4,0,1,4,0,161
1500,15,3,1,2,0,0,1,0,1061,5,4,0,5,4,0,319
1200,15,3,1,1,2,1,6,0,817,1,1,0,1,1,0,116
1500,45,1,0,0,0,1,1,0,286,1,0,0,1,0,0,34
1500,55,5,0,1,4,0,3,0,1156,1,2,0,1,2,0,46
300,15,2,0,0,1,1,5,0,1072,1,3,1,0,3,0,98
1200,15,2,0,0,1,0,5,0,409,0,3,0,0,3,0,122
1200,15,2,0,0,2,0,3,0,816,2,1,0,2,0,0,135
600,25,1,0,0,1,1,6,0,508,1,3,0,1,3,0,48
2100,35,1,1,0,1,3,4,0,1073,3,2,0,3,2,0,140
3000,25,1,0,1,1,0,3,0,924,0,2,0,0,2,0,174
300,45,1,0,0,1,0,5,0,971,1,3,0,1,3,0,11
2700,55,3,1,1,2,0,3,0,987,0,1,0,0,1,0,52
3000,15,1,0,0,1,0,1,1,610,1,1,0,1,1,0,293
300,25,1,0,0,1,0,1,0,391,0,3,0,0,3,0,19
1500,15,2,1,0,0,2,3,0,649,1,4,0,1,3,0,176
300,55,3,1,0,0,1,0,0,820,0,2,0,0,2,0,3
900,45,2,1,2,0,1,6,0,864,1,2,0,2,2,0,31
1800,45,1,0,2,0,1,0,0,887,0,1,0,0,1,0,44
1500,55,1,1,1,0,0,1,0,1016,1,3,0,1,3,0,46
2700,35,2,1,1,2,0,4,0,1048,1,1,0,1,1,0,109
2700,25,2,1,3,0,0,4,0,852,1,2,0,1,2,0,160
2100,25,1,1,0,0,0,4,0,491,5,2,0,5,2,0,233
300,25,1,0,1,0,1,4,1,611,0,2,0,0,2,0,15
2400,25,3,1,1,1,1,2,0,618,2,3,0,2,3,0,195
2400,25,1,0,0,1,1,2,0,401,0,3,0,0,2,0,150
1800,25,2,1,0,0,0,4,0,495,0,3,0,0,3,0,88
1800,25,3,1,1,0,1,1,0,1100,1,3,0,1,3,0,110
1500,35,2,1,1,1,0,2,0,37,0,0,0,0,0,0,39
